Last;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;ProgressBar;Code;Tema;Pregunta;PLista;PCandi;_99
;true;;;;;;;;;;;;;;2;1;Comparativa 1980 vs 2022;Chile es un estado...
;;true;;;;;;;;;;;;;5;2;Comparativa 1980 vs 2022;Educación:
;;;true;;;;;;;;;;;;7;3;Comparativa 1980 vs 2022;Propiedad:
;;;;true;;;;;;;;;;;8;4;Comparativa 1980 vs 2022;Salud:
;;;;;true;;;;;;;;;;10;5;Comparativa 1980 vs 2022;Trabajo:
;;;;;;true;;;;;;;;;13;6;Comparativa 1980 vs 2022;Medio Ambiente:
;;;;;;;true;;;;;;;;17;7;Comparativa 1980 vs 2022;Agua:
;;;;;;;;true;;;;;;;22;8;Comparativa 1980 vs 2022;Chile es un estado:
;;;;;;;;;true;;;;;;24;9;Comparativa 1980 vs 2022;Pensiones:
;;;;;;;;;;true;;;;;31;10;Comparativa 1980 vs 2022;Poder Legislativo:
;;;;;;;;;;;true;;;;34;11;Comparativa 1980 vs 2022;Democracia:
;;;;;;;;;;;;true;;;36;12;Comparativa 1980 vs 2022;Medios de comunicación:
;;;;;;;;;;;;;;;44;13;Novedades 2022;Derecho a la vivienda: adecuada, habitable, con espacio y equipamiento, disponibilidad de servicios, accesibilidad y ubicación apropiada.
;;;;;;;;;;;;;;;50;14;Novedades 2022;Paridad: Participación equilibrada de hombres y mujeres en los distintos espacios de toma de decisiones.
;;;;;;;;;;;;;;;55;15;Novedades 2022;Dar reconocimiento, valorar y promover la participación de los Pueblos Originarios.
;;;;;;;;;;;;;;;60;16;Novedades 2022;El Estado debe erradicar la corrupción tanto en el sector público como privado, adoptar medidas para su prevención, persecución y sanción.
;;;;;;;;;;;;;;;62;17;Novedades 2022;Solidaridad interterritorial: Compensar fondos a nivel regional y comunal para corregir las desigualdades entre territorios.
;;;;;;;;;;;;;;;64;18;Novedades 2022;El actuar del estado y sus finanzas se guiarán por los principios de Responsabilidad Fiscal y sostenibilidad. Se establece la progresividad en el financiamiento de derechos.
;;;;;;;;;;;;;;;66;19;Novedades 2022;Incluir el derecho a la muerte digna, con accesos a cuidados paliativos, acompañamiento adecuado e información para decidir libre e informado (permite la eutanasia).	
;;;;;;;;;;;;;;;68;20;Novedades 2022;Garantizar los derechos sexuales y reproductivos, como, el derecho a decidir de forma libre sobre el propio cuerpo, sobre el ejercicio de la sexualidad, la reproducción, el placer y la anticoncepción. (permite el aborto)
;;;;;;;;;;;;;;;70;21;Novedades 2022;Inhabilidad para cargos públicos. No podrán optar a cargos públicos las personas condenadas por crímenes de lesa humanidad, delitos sexuales y de violencia intrafamiliar, vinculados a corrupción, fraude al fisco, lavado de activos, soborno, malversación de caudales públicos y los demás que así establezca la ley. 
;;;;;;;;;;;;;;;72;22;Novedades 2022;El Estado deberá prevenir y sancionar los abusos en los mercados (ej. colusión, monopolio, concentraciones) que afecten el funcionamiento eficiente, justo y leal de los mercados.
;;;;;;;;;;;;;;;74;23;Novedades 2022;El Estado debe proteger la biodiversidad, debiendo preservar, conservar y restaurar el hábitat de las especies nativas silvestres para asegurar su supervivencia, incluyendo los ecosistemas marinos.
;;;;;;;;;;;;;;;79;24;Novedades 2022;Incluir en la constitución los derechos de las personas con discapacidad y disponer los medios para remover las barreras a su desarrollo. 
;;;;;;;;;;;;;;;83;25;Novedades 2022;Cultura, artes y conocimientos. El Estado promueve, fomenta y garantiza el acceso, desarrollo y difusión de las culturas, las artes y los conocimientos.
;;;;;;;;;;;;;;;86;26;Novedades 2022;Derechos de los consumidores. Proteger los derechos a la libre elección, la información veraz, no discriminación, seguridad, protección de la salud y el medio ambiente, la reparación e indemnización adecuada y a la educación para el consumo responsable.
;;;;;;;;;;;;;;;90;27;Novedades 2022;Las Fuerzas Armadas (Ejército, Armada y la Fuerza Aérea.) Son instituciones profesionales, jerarquizadas, disciplinadas, obedientes y no deliberantes, sujetos a controles en materia de probidad y transparencia. El ingreso será gratuito y no discriminatorio. 
;;;;;;;;;;;;;;;94;28;Novedades 2022;Reconocer a la agricultura campesina, indígena y la pesca artesanal, como actividades fundamentales de la producción de alimentos.
true;;;;;;;;;;;;;;;100;29;Novedades 2022;Ciencia y Tecnología. Es deber del Estado incluir los mejores avances de las ciencias, tecnología, conocimientos e innovación al quehacer público. El derecho, a la información, al conocimiento, a la educación y conectividad digital, a la participación digital y a la protección de los datos personales. Principios de bioética.
